Country;Charter type code;Organisation Name;Erasmus code;Street;Postcode;City
FR;EUCX;LYCÉEE TECHNOLOGIQUE INSTITUT LEMONNIER;F  CAEN16;60 RUE D'HEROUVILLE BP269;14013;CAEN CEDEX1
IT;EUCX;UNIVERSITÀ DEGLI STUDI DI CAGLIARI ;I  CAGLIAR01;Palazzo Cugia- Via Santa Croce n. 67;09124 ;CAGLIARI
IT;EUCX;SCUOLA SUPERIORE PER MEDIATORI LINGUISTICI VERBUM;I  QUARTUS01;PIAZZA DEL CARMINE, 32;09124;CAGLIARI
FR;EUCX;ENSEMBLE SCOLAIRE SAINT ETIENNE;F  CAHORS04;49  RUE DES SOUBIROUS;46000;CAHORS
FR;EUCP;INSTITUT DE FORMATION EN SOINS INFIRMIERS DU CH DE CAHORS;F  CAHORS05;351, RUE SAINT GÉRY;46000;CAHORS
HR;EUC;MEĐIMURSKO VELEUČILIŠTE U ČAKOVCU;HR CAKOVEC01;BANA JOSIPA JELAČIĆA 22A;40 000;ČAKOVEC
ES;EUCX;"INSTITUTO DE ENSENANZA SECUNDARIA ""VALLE DEL CIDACOS""";E  LOGRONO09;Basconia, s/n;26500;CALAHORRA
ES;EUCP;CENTRO DE F.P LA PLANILLA;E  LOGRONO13;AVDA. LOS ANGELES S/N;26500;CALAHORRA
ES;EUCX;IES EMILIO JIMENO;E  ZARAGOZ20;C/ RÍO PEREJILES, 2;50.300;CALATAYUD (ZARAGOZA)
FR;EUCX;INSTITUT DE L'ORATOIRE - INSTITUT PRIVE POUR LA FORMATION ET LA RECHERCHE PEDAGOGIQUE;F  CALUIRE01;2 RUE DE L'ORATOIRE;69300;CALUIRE
ES;EUCP;IES BENDINAT;E  PALMA18;C/ARQUITECTE FRANCESC CASAS S/N;07181 BENDINAT;CALVIA (BALEARES)
DE;EUC;SRH HOCHSCHULE CALW;D  CALW02;BADSTRAßE 27;75365 ;CALW
ES;EUCP;IES CAMAS;E  SEVILLA17;AUTOVIA SEVILLA-GIJON KM. 3 S/N;41900;CAMAS
FR;EUCX;ÉCOLE SUPÉRIEURE D'ART NORD_PAS DE CALAIS / CAMBRAI;F  CAMBRAI05;RUE DU PAON 7;59400;CAMBRAI
UK;EUCX;UNIVERSITY OF CAMBRIDGE;UK CAMBRID01;17 Mill Lane;CB2 1RX;CAMBRIDGE
ES;EUCX;IES ESCOLA D'HOTELERIA I TURISME DE CAMBRILS;E  TARRAGO05;C/ Estel s/n i Passeig Marítim s/n ;43850;Cambrils
IT;EUCX;UNIVERSITÀ DEGLI STUDI DI CAMERINO ;I  CAMERIN01;Via Sant'Agostino n. 1;62032;Camerino (Macerata)
IT;EUCX;UNIVERSITA' DEGLI STUDI DEL MOLISE;I  CAMPOBA01;VIA F. DE SANCTIS, s/n;86100;CAMPOBASSO
IT;EUCX;CONSERVATORIO DI MUSICA 'L.PEROSI';I  CAMPOBA03;viale Principe di Piemonte, 2/A;86100;CAMPOBASSO
TR;EUCX;CANAKKALE ONSEKIZ MART ÜNIVERSITESI;TR CANAKKA01;RECTORATE BUILDING, TERZIOGLU CAMPUS;17020;CANAKKALE
ES;EUCP;IES DE RODEIRA;E  PONTEVE07;AVDA. DE OURENSE S/N;36940;CANGAS-PONTEVEDRA-
TR;EUCX;CANKIRI KARATEKIN UNIVERSITESI;TR CANKIRI01;CUMHURIYET MAH. SEHIT PILOT USTEGMEN ERDEM OZTURK SK. 12;18100;CANKIRI
FR;EUCX;STE MARIE DE CHAVAGNES;F  CANNES06;5 rue des Mimosas;06400;Cannes
FR;EUCP;LYCÉE BRISTOL;F  CANNES03;10,AVENUE SAINT NICOLAS;06400;CANNES
FR;EUCP;LYCÉE CARNOT;F  CANNES07;BBOULEVARD CARNOT BP 296;06408 CEDEX;CANNES
FR;EUCP;FACULTÉ DES MÉTIERS DE CANNES;F  CANNES08;54/56, RUE DE CANNES;06150;CANNES-LA BOCCA
ES;EUCX;INSTITUTO DE ENSEÑANZA SECUNDARIA IES VALLE DE CAMARGO;E  SANTAND23;Avenida de Burgos s/n;39600 Revilla de Camargo (Cantabria);Cantabria
ES;EUCX;I.E.S. MARISMAS;E  SANTAND17;Sor Mª Del Carmen Nº5 Santoña;39740;Cantabria
FR;EUCX;ADSCI ASSOCIATION POUR LE DÉVELOPPEMENT SOCIAL & CULTUREL INTERNATIONAL;F  ROUEN28;ROUTE DE DUCLAIR, B.P. 118;76380;CANTELEU
FR;EUCP;LYCÉE GEORGES BAPTISTE;F  ROUEN30;41 ROUTE DE DUCLAIR;76380;CANTELEU
UK;EUCP;CANTERBURY COLLEGE;UK CANTERB05;NEW DOVER ROAD;CT1 3AJ;CANTERBRUY
UK;EUC;CANTERBURY CHRIST CHURCH UNIVERSITY;UK CANTERB03;North Holmes Road;CT1 1QU;Canterbury
UK;EUCX;UNIVERSITY OF KENT;UK CANTERB01;European Office, The Registry;CT2 7NZ;Canterbury
PT;EUCX;EGAS MONIZ - COOPERATIVA DE ENSINO SUPERIOR, CRL;P  MONTE-D02;"Quinta da Granja; Monte da Caparica";2829-511;CAPARICA
FR;EUCP;LYCEE LA TRINITE;F  BEZIERS04;LA BASTIDE VIEILLE;34310;CAPESTANG
ES;EUCP;INSTITUTO DE ENSEÑANZA SECUNDARIA GINÉS PÉREZ CHIRINOS;E  MURCIA47;C/ DOCTOR ROBLES, 1;30400;CARAVACA DE LA CRUZ -MURCIA-
ES;EUCX;IES VILAMARIN;E  ORENSE02;RIO PEDRIÑAS 6-2º;32500;CARBALLIÑO
FR;EUCX;EPLEA CARCASSONNE;F  CARCASS07;LEGTA CHARLEMAGNE RTE DE ST HILAIRE;11000;CARCASSONNE
UK;EUCX;CARDIFF UNIVERSITY;UK CARDIFF01;International Development Division, 42 Park Place;CF10 3BB;Cardiff
UK;EUCX;CARDIFF METROPOLITAN UNIVERSITY;UK CARDIFF05;Academic Registry, UWIC, Llandaff Campus, Western Avenue;CF5 2YB;Cardiff
ES;EUCP;IES JOAQUÍN COSTA;E  ZARAGOZ37;AVDA DEL EJÉRCITO S/Nº;50400;CARIÑENA (ZARAGOZA)
UK;EUCX;UNIVERSITY OF CUMBRIA;UK LANCAST02;Milbourne Street;CA2 5XB;CARLISLE
IE;EUCX;INSTITUTE OF TECHNOLOGY CARLOW;IRLCARLOW01;Kilkenny Road;x;Carlow
UK;EUC;UNIVERSITY OF WALES TRINITY SAINT DAVID;UK CARMART02;COLLEGE ROAD ;SA31 3EP;CARMARTHEN
IT;EUCX;ACCADEMIA DI BELLE ARTI DI CARRARA;I  CARRARA01;VIA ROMA, 1;54033;CARRARA
ES;EUCX;UNIVERSIDAD POLITECNICA DE CARTAGENA;E  MURCIA04;PLAZA DEL CRONISTA ISIDORO VALVERDE,S/N - EDIF. LA MILAGROSA;30202;CARTAGENA
ES;EUCP;IES JIMENEZ DE LA ESPADA;E  MURCIA07;INGENIERO DE LA CIERVA / 24;30203;CARTAGENA
ES;EUCX;INSTITUTO DE EDUCACION SECUNDARIA CARLOS III;E  MURCIA08;c/ Carlos III nº 3;30201;Cartagena
ES;EUCP;"INSTITUTO EDUCACIÓN SECUNDARIA ""MEDITERRÁNEO""";E  MURCIA10;REINA VICTORIA, 32A, 7ºD;30203;CARTAGENA
ES;EUCP;"INSTITUTO DE EDUCACIÓN SECUNDARIA ""POLITÉCNICO""";E  MURCIA11;CL. GRECIA, Nº 56;30203;CARTAGENA
ES;EUCP;INSTITUTO DE EDUCACIÓN SECUNDARIA EL BOHIO;E  MURCIA35;BARRIADA SAN CRISTOBAL S/N;30310;CARTAGENA
ES;EUCX;CENTRO INTEGRADO DE FORMACIÓN PROFESIONAL HESPÉRIDES;E  CARTAGE01;CALLE DOÑA CONSTANZA, 2;30202;CARTAGENA
ES;EUCP;CIFP HOSTELERIA Y TURISMO DE CARTAGENA;E  MURCIA49;C/ INGENIERO DE LA CIERVA 24;30203;CARTAGENA
IT;EUCX;UNIVERSITÀ LUM JEAN MONNET;I  CASAMAS01;S.S. 100 KM. 18;70010;CASAMASSIMA (BA)
FR;EUCP;LYCEE POLYVALENT NORD CARAIBE;F  FORT-FR12;QUARTIER CHEVAL BLANC - BELLEFONTAINE;97222;CASE-PILOTE
IT;EUCX;SECONDA   UNIVERSITÀ   DEGLI   STUDI   DI   NAPOLI;I  NAPOLI09;VIA LUPOLI, 24;81100;CASERTA
IT;EUCX;CONSERVATORIO DI MUSICA NICOLA SALA DI BENEVENTO;I  BENEVEN03;Via S.S. Nome di Maria Nr.26;81100;Caserta
CZ;EUCX;VYSSI ODBORNA SKOLA, STREDNI PRUMYSLOVA SKOLA A OBCHODNI AKADEMIE, CASLAV;CZ EASLAV01;PREMYSLA OTAKARA II. 938;286 14 ;CASLAV
IT;EUCX;UNIVERSITA' DEGLI STUDI DI CASSINO ;I  CASSINO01;Via Marconi, 10;03043;CASSINO
FR;EUCX;ENFA ECOLE NATIONALE DE FORMATION AGRONOMIQUE;F  CASTANE02;BP 22687 - 2 route de Narbonne;31326;CASTANET-TOLOSAN
ES;EUCX;"INSTITUTO DE ENSEÑANZA SECUNDARIA IES ""SANTA CRUZ""";E  SANTAND15;C) Villabañez s/n ;39660;CASTAÑEDA, CANTABRIA
IT;EUC;CONSERVATORIO DI MUSICA 'FRANCESCO VENEZZE';I  ROVIGO01;via Santa Croce 10;40023 ;Castel Guelfo  -  Bologna
IT;EUCX;"CONSERVATORIO STATALE DI MUSICA ""AGOSTINO STEFFANI"" - CASTELFRANCO VENETO (TV)";I  CASTELF01;Via Garibaldi 25;I - 31033;CASTELFRANCO VENETO
IT;EUCX;UNIVERSITÁ CARLO CATTANEO - LIUC;I  CASTELL01;Corso Matteotti 22;21053;CASTELLANZA
ES;EUCX;IES MEDITERRANIA;E  BARCELO63;Ctra. de la Sentiu, s/n;08860 ;Castelldefels
ES;EUCX;ESCOLA D'ART I SUPERIOR DE DISSENY DE CASTELLON;E  CASTELL08;PLAZA FADRELL N. 1;12002;CASTELLON
ES;EUCP;IES MATILDE SALVADOR;E  CASTELL05;AVENIDA  CASALDUCH 120;12005;CASTELLÓN
ES;EUCP;I.E.S. VICENT CASTELL DOMENECH;E  CASTELL12;ILLA BALEATO, 18;12006;CASTELLÓN
ES;EUC;"CONSERVATORIO SUPERIOR DE MÚSICA ""SALVADOR SEGUÍ"" DE CASTELLÓN";E  CASTELL13;Marqués de la ensenada 34 - 36 ;12003;CASTELLÓN
ES;EUCP;IES F. RIBALTA;E  CASTELL07;AVENIDA REI EN JAUME 35;12001;CASTELLON 
ES;EUCX;UNIVERSITAT JAUME I;E  CASTELL01;Avinguda Sos Baynat s/n;12071;CASTELLON DE LA PLANA
ES;EUCP;IES POLITÈCNIC;E  CASTELL14;CANTO DE CASTALIA/1;12006;CASTELLON DE LA PLANA
ES;EUCX;IES EL CAMINAS;E  CASTELL06;PINTOR SOLER BLASCO,3;12003;CASTELLÓN DE LA PLANA
ES;EUCP;IFPS COSTA DE AZAHAR DE CASTELLÓN;E  CASTELL15;FERRANDIS SALVADOR, 6.;12100;CASTELLON DE LA PLANA. GRAO. 
FR;EUCX;LYCEE GEORGES POMPIDOU;F  MONTPEL45;351 avenue Marechal de Lattre de Tassigny;34170;CASTELNAU-LE-LEZ
PT;EUCX;INSTITUTO POLITÉCNICO DE CASTELO BRANCO;P  CASTELO01;Avª Pedro Alvares Cabral, nº 12;6000-084;Castelo Branco
FR;EUCX;LYCEE AGRICOLE PRIVE DE TOUSCAYRATS;F  CASTRES04;LES AMIALHES;81100;CASTRES
FR;EUCP;IFSI CHIC CASTRES MAZAMET;F  CASTRES05;6, AVENUE DE LA MONTAGNE NOIRE - B.P. 30418;81108;CASTRES CEDEX
ES;EUCX;I.E.S. ATAULFO ARGENTA;E  SANTAND12;Menendez Pelayo 4;39700;Castro Urdiales (Cantabria)
ES;EUCP;INSTITUTO DE ENSEÑANZA SECUNDARIA DR. JOSÉ ZAPATERO DOMINGUEZ;E  SANTAND22;LEONARDO RUCABADO, 56;39700;CASTRO-URDIALES(CANTABRIA)
IT;EUCX;UNIVERSITA' DEGLI STUDI DI CATANIA ;I  CATANIA01;Via A. di Sangiuliano 262;95100;Catania
IT;EUC;"ISTITUTO SUPERIORE DI STUDI MUSICALI ""VINCENZO BELLINI"" CATANIA";I  CATANIA06;VIA CROCIFERI, 72;95124;CATANIA
IT;EUCX;ACCADEMIA DI BELLE ARTI DI CATANIA;I  CATANIA03;via Del Bosco 34/A;95100;CATANIA
IT;EUCX;UNIVERSITA' DEGLI STUDI MAGNA GRÆCIA DI CATANZARO;I  CATANZA02;VIALE EUROPA - LOCALITA' GERMANETO;88100;CATANZARO
ES;EUCX;FLORIDA CENTRE DE FORMACIÓ, C.V.;E  VALENCI16;C/. Rei En Jaume I, 2;46470;Catarroja
ES;EUCP;CENTRO INTEGRADO PUBLICO DE FORMACION PROFESIONAL CATARROJA;E  VALENCI47;C/. SAN VICENTE FERRER , 1- BIS;46470;CATARROJA (VALENCIA)
ES;EUCP;ESCUELA DE CAPATACES AGRÍCOLAS;E  VALENCI62;CAMINO DEL PUERTO S/N;46470;CATARROJA, VALENCIA
FR;EUCX;LYCÉE ISMAËL DAUPHIN;F  AVIGNON16;LYCEE ISMAEL DAUPHIN - RUE PIERRE FABRE;84300;CAVAILLON
ES;EUCP;IEL EL CARMEN;E  SEVILLA47;SANTA CLARA Nº 3;41370;CAZALLA DE LA SIERRA (SEVILLA)
TR;EUCX;OZYEGIN UNIVERSITESI;TR ISTANBU31;"Cekmeköy Campus ; Nisantepe Mevkii Orman Sok. N°13";34794 Alemdag;CEKMEKÖY/ISTANBUL
SI;EUCP;ŠOLA ZA HORTIKULTURO IN VIZUALNE UMETNOSTI CELJE;SI CELJE01;LJUBLJANSKA CESTA 97;3000;CELJE
SI;EUCX;POSLOVNO-KOMERCIALNA ŠOLA CELJE;SI CELJE02;MARIBORSKA CESTA 2;3000;CELJE
SI;EUCX;MEDNARODNA FAKULTETA ZA DRUZBENE IN POSLOVNE STUDIJE;SI CELJE03;Mariborska cesta 7;3000;CELJE
SI;EUCX;FAKULTETA ZA KOMERCIALNE IN POSLOVNE VEDE;SI CELJE04;LAVA 7;3000;CELJE
SI;EUC;ABITURA D. O. O. CELJE;SI CELJE05;LAVA 7;3000;CELJE
SI;EUCX;ŠOLSKI CENTER CELJE, VIŠJA STROKOVNA ŠOLA;SI CELJE07;POT NA LAVO 22;3000;CELJE
SI;EUCX;VISOKA ZDRAVSTVENA ŠOLA V CELJU;SI CELJE08;MARIBORSKA CESTA 7;3000;CELJE
SI;EUCX;VISOKA GOSPODARSKA ŠOLA;SI CELJE09;MARIBORSKA CESTA 2;3000;CELJE
ES;EUCX;INSTITUT JAUME MIMO;E  BARCELO95;SERRA DELS GALLINERS S/N;08290;CERDANYOLA DEL VALLES
FR;EUCX;ECOLE NATIONALE SUPERIEURE DE L'ELECTRONIQUE ET DE SES APPLICATIONS;F  CERGY01;6 Avenue du Ponceau;95014;CERGY
FR;EUCX;ECOLE INTERNATIONALE DES SCIENCES DU TRAITEMENT DE L'INFORMATION;F  CERGY-P01;Avenue du Parc;95011;CERGY
FR;EUCX;ECOLE NATIONALE SUPÉRIEURE D'ARTS PARIS-CERGY;F  CERGY-P09;2 RUE DES ITALIENS;95000;CERGY
FR;EUCX;ECOLE DE BIOLOGIE INDUSTRIELLE;F  CERGY08;32 boulevard du Port;F-95094;CERGY CEDEX
FR;EUCX;ITIN - Ecole Superieure d'Informatique, Reseaux, et Systemes d'Information;F  CERGY-P06;10, avenue de l'entreprise;95891 ;CERGY PONTOISE
FR;EUC;CONSERVATOIRE À RAYONNEMENT RÉGIONAL DE CERGY PONTOISE;F  CERGY04;PARVIS DE LA PRÉFECTURE - BP  80309;95027;CERGY PONTOISE
FR;EUCX;ECOLE D'ELECTRICITE, DE PRODUCTION ET DES METHODES INDUSTRIELLES;F  CERGY-P03;13 BOULEVARD DE L'HAUTIL;95092;CERGY PONTOISE CEDEX
FR;EUC;COLLEGE OSTEOPATHIQUE EUROPEEN FI;F  CERGY-P07;46 AVE DES GENOTTES BP 18 554;95892;CERGY PONTOISE CEDEX
FR;EUCX;ILEPS-ECOLE SUPÉRIEURE DES MÉTIERS DU SPORT;F  CERGY-P08;13, BLD DE L'HAUTIL;95092 CEDEX;CERGY-PONTOISE
FR;EUCX;ESSEC MBA;F  CERGY03;Avenue Bernard Hirsch BP 50105 Cergy;95021;Cergy-Pontoise Cedex
FR;EUCX;UNIVERSITE DE CERGY-PONTOISE;F  CERGY07;33 boulevard du Port;95011;CERGY-PONTOISE CEDEX
ES;EUCX;IES LA SEGARRA;E  LLEIDA04;Av. President Macià, 11;25200;Cervera
IT;EUCX;CONSERVATORIO DI MUSICA BRUNO MADERNA CESENA;I  CESENA01;CORSO U.COMANDINI 1;47023;CESENA
CZ;EUCX;JIHOCESKÁ UNIVERZITA V CESKÝCH BUDEJOVICÍCH;CZ CESKE01;Branisovská 31a;37005;CESKE BUDEJOVICE
CZ;EUCX;VYSOKÁ SKOLA EVROPSKÝCH A REGIONÁLNÍCH STUDIÍ, O. P. S. (VSERS);CZ CESKE03;Zizkova/ 4;37001;CESKE BUDEJOVICE
CZ;EUCX;VYSOKÁ SKOLA TECHNICKÁ A EKONOMICKÁ V CESKYCH BUDEJOVICÍCH;CZ CESKE04;Okruzni 10;370 01;CESKE BUDEJOVICE
FR;EUCX;LYCEE Polyvalent Professionnel Saint Etienne;F  RENNES44;99 rue de la Chalotais BP  41239;35512;Cesson-Sevigne  Cedex
ES;EUCP;IES ALMINA;E  CEUTA01;C/ CALDERON DE LA BARCA, 28;51002;CEUTA
ES;EUC;IES ABYLA;E  CEUTA02;AVDA CIUDAD DE BARCELONA S/N;51001;CEUTA
ES;EUCP;IES SIETE COLINAS;E  CEUTA03;AVENIDA VIRGEN DE ÁFRICA S/N;51002;CEUTA
ES;EUCP;IES CLARA CAMPOAMOR;E  CEUTA04;C/ARGENTINA, S/N;51002;CEUTA
ES;EUCP;IES LUIS DE CAMOENS;E  CEUTA05;C/SARGENTO CORIAT, S/N;51001;CEUTA
ES;EUCP;IES PUERTAS DEL CAMPO;E  CEUTA06;AVDA. SAN JUAN DE DIOS S/N;51001;CEUTA
ES;EUCX;"IES ""FELIPE DE BORBON""";E  MURCIA13;AVENIDA DE LORQUI, 54;30562;CEUTI - MURCIA -
FR;EUCX;LYCEE FRANÇOIS-TRUFFAUT;F  CHALLAN01;8 RUE DE LA CAILLETIÈRE;85300;CHALLANS
FR;EUCX;INSTITUT CATHOLIQUE DE FORMATION DES PROFESSEURS D'ALSACE BOURGOGNE-FRANCHE COMTÉ;F  BESANCO20;12A, rue du Roy Gontran;71100;CHALON SUR SAONE
FR;EUCX;ECOLE DE GESTION ET DE COMMERCE 71;F  CHALO-S01;1 Avenue de Verdun;71100;CHALON SUR SAONE
FR;EUCP;LYCEE PRIVE CATHOLIQUE CHALONNAIS;F  CHALO-S08;3 RUE GENERAL GIRAUD;71 100;CHALON SUR SAONE
FR;EUCX;CONSERVATOIRE À RAYONNEMENT RÉGIONAL DU GRAND CHALON ;F  CHALO-S06;1 RUE O MESSIAEN;71100;CHALON SUR SAÔNE
FR;EUCP;ECOLE MEDIA ART FRUCTIDOR;F  CHALO-S07;34, RUE FRUCTIDOR;71100;CHALON SUR SAÔNE
FR;EUCX;INSTITUT DE FORMATION DES PERSONNELS DE SANTE;F  CHAL-CH01;56 TER AVENUE DU GÉNÉRAL SARRAIL;51037;CHALONS EN CHAMPAGNE
FR;EUCP;LYCEE JEAN TALON ;F  CHAL-CH02;105 AVENUE DANIEL SIMONNOT;51000;CHALONS EN CHAMPAGNE
FR;EUCP;LYCEE SAINT VINCENT DE PAUL;F  CHALO-C01;1 RUE DE LA FRATERNITÉ BP 2059;51001;CHALONS EN CHAMPAGNE CEDEX
FR;EUCX;INSTITUT SUPERIEUR DE PROMOTION INDUSTRIELLE;F  CHALO-C02;7 rue du Parlement - BP 12;51005 ;CHALONS-EN-CHAMPAGNE cedex
FR;EUC;IUFM D'AUVERGNE;F  CLERMON06;36 ave Jean Jaures;63407;Chamalieres
FR;EUCX;LYCEE AGRICOLE PRIVE COSTA DE BEAUREGARD;F  CHAMBER09;179 rue Marcoz;73000;CHAMBERY
FR;EUCX;UNIVERSITE DE SAVOIE;F  CHAMBER01;27, rue Marcoz  BP 1104;73011 ;Chambery Cedex
FR;EUCX;LYCEE SAINT-AMBROISE;F  CHAMBER06;2 rue Burdin;73025;CHAMBERY CEDEX
FR;EUCX;EPL DES TERRES DE L'YONNE;F  VENOY02;1 AVENUE DU DOCTEUR ALBERT SCHWEITZER;89290;CHAMPS SUR YONNE
FR;EUCX;ESO (ECOLE SUPÉRIEURE D'OSTÉOPATHIE);F  EMERAIN01;8, RUE ALFRED NOBEL;77420;CHAMPS-SUR-MARNE
GR;EUCX;MESOGIAKO AGRONOMIKO INSTITUTO CHANION;G  CHANIA01;MAKEDONIAS 1, ALSYLLIO AGROKEPIO, P.O.BOX 85;73100;CHANIA
GR;EUCX;POLYTECHNIO KRITIS;G  KRITSI09;Plateia Agiou Titou;73132;Chania
FR;EUCP;LYCÉE SÉVIGNÉ;F  CHARL-M09;14 RUE MME DE SÉVIGNÉ;08000;CHARLEVILLE- MEZIERES
FR;EUCP;IFSI RENE MIQUEL;F  CHARL-M10;1 RUE PIERRE HALLALI;08000;CHARLEVILLE-MEZIERES
FR;EUCX;EGC CHARLEVILLE-MEZIERES;F  CHARL-M07;18A, av Georges Corneau BP 389;08106 ;CHARLEVILLE-MEZIERES CEDEX
FR;EUCP;LYCÉE POLYVALENT (LPO) GUY MÔQUET - ÉTIENNE LENOIR;F  CHATEAU07;1 RUE DE L'EUROPE - BP 209;44146;CHÂTEAUBRIANT
FR;EUCP;LYCÉE PROFESSIONNEL FRANÇOIS MITTERRAND;F  NEVERS07;1, RUE PIERRE MENDÈS FRANCE;58120;CHATEAU-CHINON
FR;EUCP;LYCÉE TECHNIQUE LES MANDAILLES;F  CHATEAU08;LTP LES MANDAILLES;26330;CHATEAUNEUF DE GALAURE
FR;EUCX;EPLEFPA CHATEAUROUX (Etablissement Public Local d'Enseignement et de Formation Professionnelle Agricoles);F  CHATEAU04;route de Velles-BP 529;36018;CHATEAUROUX Cedex
FR;EUCP;LYCEE EMMANUEL MOUNIER;F  CHATENA01;35 RUE DES PRÉS HAUTS;92290;CHATENAY MALABRY
FR;EUCX;ECOLE CENTRALE PARIS;F  CHATENA02;Grande Voie des Vignes;92295 CEDEX;Chatenay-Malabry
UK;EUCX;UNIVERSITY OF GREENWICH ;UK LONDON110;p113 Central Avenue Chatham Maritime ;ME4 4AW;Chatham Maritime, Kent
FR;EUCX;EPLEFPA DE CHAUMONT;F  CHAUMON06;EPLEFPA BP 2089;52903 ;CHAUMONT CEDEX 09
FR;EUCP;LYCÉE DES MÉTIERS CHARLES DE GAULLE;F  CHAUMON07;AVENUE CHRISTIAN PINEAU - BP 2067;52903;CHAUMONT CEDEX9
FR;EUCP;INSTITUT RURAL D'EDUCATION ET D'ORIENTATION DE CHAUVIGNY;F  CHAUVIG01;47 ROUTE DE MONTMORILLON;86300;CHAUVIGNY
PT;EUCP;ESCOLA SUPERIOR DE ENFERMAGEM DR. JOSÉ TIMÓTEO MONTALVÃO MACHADO;P  CHAVES02;QUINTA DOS MONTALVÕES - OUTEIRO SECO;5400-673;CHAVES
FR;EUCP;LYCEE JEHAN DE CHELLES;F  CHELLES02;rue des cités;77500;CHELLES
PL;EUCX;Panstwowa Wyzsza Szkola Zawodowa w Chelmie;PL CHELM01;54 Pocztowa Street;22-100;Chelm
PL;EUC;WYŻSZA SZKOŁA STOSUNKÓW MIĘDZYNARODOWYCH I KOMUNIKACJI SPOŁECZNEJ W CHEŁMIE ;PL CHELM02;HRUBIESZOWSKA 102;22-100;CHEŁM 
UK;EUCX;ANGLIA RUSKIN UNIVERSITY HIGHER EDUCATION CORPORATION;UK CHELMSF01;BISHOP HALL LANE;CM1 1SQ;CHELMSFORD
UK;EUCX;WRITTLE  COLLEGE ;UK CHELMSF03;Lordship Road;CM1 3RR;CHELMSFORD
UK;EUCX;UNIVERSITY OF GLOUCESTERSHIRE;UK CHELTEN02;University of Gloucestershire, The Park;GL50 2RH;Cheltenham
DE;EUCX;TECHNISCHE UNIVERSITAET CHEMNITZ;D  CHEMNIT01;Strasse der Nationen 62;D-09111;Chemnitz
DE;EUC;PRIVATE FERNFACHHOCHSCHULE SACHSEN DER F+U UNTERNEHMENSGRUPPE;D  CHEMNIT02;DITTERSDORFER WEG 25;09123;CHEMNITZ
FR;EUCX;LYCEE ALEXIS DE TOCQUEVILLE;F  CHERBOU01;34 AVENUE HENRI POINCARE BP308;50103;CHERBOURG-OCTEVILLE
FR;EUCP;INSTITUT DE RICHEMONT - MFR DES CHARENTES;F  COGNAC02;Institut de Richemont;16370;CHERVES RICHEMONT 
ES;EUCP;C.I.P.F.P COMPLEJO EDUCATIVO DE CHESTE;E  VALENCI75;CTRA(MADRID SN. CHESTE;46380;CHESTE
UK;EUCX;THE UNIVERSITY OF CHESTER;UK CHESTER01;Parkgate Road;CH1 4BJ;Chester
UK;EUCX;CHESTERFIELD COLLEGE;UK CHEST-F01;INFIRMARY RD;S41 7NG;CHESTERFIELD
UK;EUCX;UNIVERSITY OF CHICHESTER;UK BOGNO-R01;University of Chichester, Bishop Otter Campus, College Lane;PO19 6PE;Chichester
IT;EUCX;UNIVERSITA' DEGLI STUDI 'G. D'ANNUNZIO' - CHIETI;I  CHIETI01;Via Dei Vestini, 31;66013;Chieti Scalo
UK;EUC;WILTSHIRE COLLEGE;UK TROWBRI01;COCKLEBURY ROAD;SN15 3QD;CHIPPENHAM
UK;EUCX;RAVENSBOURNE;UK CHISLEH01;WALDEN ROAD;BR7 5SN;CHISLEHURST
FR;EUCP;LYCÉE TECHNOLOGIQUE LA PROVIDENCE;F  CHOLET03;33 AVENUE GUSTAVE FERRIÉ;49300;CHOLET
FR;EUCP;LYCÉE EUROPE-R. SCHUMAN;F  CHOLET09;39, AVENUE DE L'EUROPE  BP 90 801;49300             ;CHOLET
FR;EUCP;LPO FERNAND RENAUDEAU ;F  CHOLET10;20 RUE CARTERON BP 2124;49321;CHOLET
FR;EUCX;ESIAME - ECOLE SUPÉRIEURE POUR L'INNOVATION ET L'ACTION VERS LES MÉTIERS DE L'ENTREPRISE;F  CHOLET07;DOMAINE UNIVERSITAIRE - 3 RUE DE LA LOUISIANE - BP 31226;49312;CHOLET CEDEX
FR;EUCP;LYCÉE SAINTE-MARIE;F  CHOLET08;BP 40755 - 43, RUE SAINT-BONAVENTURE;49307;CHOLET CEDEX
PL;EUCX;GORNOSLASKA WYZSZA SZKOLA PRZEDSIEBIORCZOSCI IM. KAROLA GODULI W CHORZOWIE;PL CHORZOW01;Raclawicka 23;41-506;Chorzow
PL;EUCX;SLASKA WYZSZA SZKOLA INFORMATYCZNO-MEDYCZNA Z SIEDZIBA W CHORZOWIE;PL KATOWIC11;21 Sportowa Street;41-506;CHORZOW
CH;EUC;THEOLOGISCHE HOCHSCHULE CHUR;CH CHUR03;ALTE SCHANFIGGERSTRASSE 7;7000;CHUR
ES;EUCP;I.E.S. FEDERICO GARCIA LORCA;E  GRANADA10;CALLE/ SAN RAMON Nº 10;18194;CHURRIANA DE LA VEGA (GRANADA)
PL;EUCX;PANSTWOWA WYZSZA SZKOLA ZAWODOWA W CIECHANOWIE;PL CIECHAN02;NARUTOWICZA 9;06-400;CIECHANÓW
ES;EUCP;IES LOS ALBARES;E  MURCIA44;VEREDA DE MORCILLO S/N;30530;CIEZA
UK;EUCX;ROYAL AGRICULTURAL COLLEGE;UK CIRENCE01;Royal Agricultural College;GL7 6JS;Cirencester
